#          chi2            h           OmegaM           OmegaK               Acceptrate
        47.9689        0.737744        0.431709       -0.482582                3.51796%
        49.7345        0.717509        0.437139       -0.413638                3.53601%
        49.2522        0.719318        0.454689       -0.431397                3.55273%
        50.1582        0.724875        0.452925       -0.421791                3.56876%
        43.6617        0.725824        0.437821       -0.487517                3.58343%
        47.5365        0.730759        0.412861       -0.384709                3.60142%
        44.5959        0.732572        0.423294       -0.441559                3.6194%
        40.3333        0.730545        0.421632       -0.473759                3.63535%
        38.3945        0.737631        0.435289        -0.57057                3.65263%
        37.4517        0.739663        0.412434       -0.586939                3.66921%
        38.8386         0.75007        0.384834       -0.635498                3.68578%
        38.2434        0.754443        0.409745       -0.700216                3.70233%
        38.1792        0.753883        0.396543       -0.636977                3.71402%
         37.231        0.745612        0.452688       -0.687512                3.7312%
        36.8853        0.749425        0.431932         -0.6743                3.7456%
        36.8714         0.75043        0.414934       -0.650143                3.76344%
        38.5554        0.751016        0.427039       -0.653473                3.78128%
        37.4466        0.753465        0.422003       -0.705393                3.79911%
         37.614        0.743719        0.435223       -0.671245                3.80847%
        36.6107          0.7449        0.391899       -0.589136                3.82554%
         37.475        0.751756            0.38       -0.600262                3.84118%
        37.4164        0.750259         0.39447       -0.595027                3.85894%
        39.7247        0.741963        0.358379       -0.529061                3.87454%
        36.1679        0.746443        0.400597       -0.594106                3.89227%
        38.6345        0.749453        0.381904       -0.545327                3.90495%
        38.6282        0.745686        0.378984       -0.592608                3.92049%
        37.6804        0.748731         0.33887       -0.478577                3.93455%
        40.4889        0.750512        0.303892       -0.451523                3.94785%
        39.8244        0.749416        0.308945       -0.408321                3.96476%
        40.9255        0.729389        0.345874       -0.387586                3.98238%
        37.8188        0.730181        0.372221       -0.391046                3.99853%
        35.8919         0.73461        0.317161       -0.329231                4.01614%
        35.9763        0.733695        0.279407       -0.236798                4.03078%
        36.9699         0.73325         0.26816       -0.235153                4.04392%
        36.5439        0.736863         0.26613       -0.234716                4.06073%
        36.6616        0.737673        0.269477       -0.257504                4.07827%
        37.4054        0.727097         0.29395       -0.228338                4.09506%
        39.2137        0.741441        0.251408       -0.219514                4.11259%
         38.157        0.732404        0.341919       -0.307904                4.12409%
        42.0277        0.724814        0.396646       -0.355801                4.14007%
        36.2389        0.737729        0.374556       -0.477585                4.15452%
         36.125        0.744751        0.388892       -0.548024                4.16742%
        36.4748         0.73902        0.386129       -0.518759                4.1841%
         36.623        0.742465         0.39128       -0.567405                4.19771%
        37.2893        0.746811        0.415511       -0.602388                4.21359%
        36.7047        0.746038        0.412708       -0.598946                4.22944%
        37.4806         0.75155        0.437641       -0.697579                4.23146%
        37.1349        0.751906        0.407379       -0.652178                4.24648%
        36.1833        0.746546        0.378304       -0.552392                4.2607%
        37.1158        0.749687          0.3654       -0.554327                4.27104%
        36.5687         0.74357        0.422342       -0.626563                4.26447%
         37.057        0.745053        0.447666       -0.676408                4.27243%
         36.598        0.747632        0.407899       -0.638934                4.28801%
        41.5461        0.739371        0.426363        -0.64834                4.30127%
        40.0012        0.735511        0.454995       -0.619791                4.31603%
        39.2582        0.739921        0.454712        -0.61922                4.3331%
        38.6321        0.745329         0.45889       -0.739915                4.34705%
         37.044        0.748492        0.454241       -0.721849                4.36021%
        38.1171        0.747469        0.443723       -0.728424                4.37567%
        37.9702        0.746158        0.470241        -0.75281                4.39189%
        37.7057        0.751676           0.457       -0.777132                4.40419%
        38.8369        0.753611        0.468655       -0.827796                4.4196%
        39.8688        0.750127         0.51993       -0.855826                4.42478%
        39.1375        0.746322         0.50047       -0.806977                4.44169%
        40.5428        0.747672        0.523403       -0.839239                4.45072%
        38.1848        0.746117        0.478719       -0.764839                4.46602%
        37.9146        0.745363        0.472699       -0.736403                4.47183%
        37.8101         0.75101         0.43523       -0.735018                4.48155%
        37.8538        0.748362        0.472038       -0.776221                4.49438%
        38.3989         0.75491        0.443755       -0.779479                4.50719%
        41.1615         0.75477        0.474379       -0.868654                4.52393%
        45.4614        0.761397        0.463539       -0.786274                4.53988%
        45.0864        0.755223        0.438209       -0.671782                4.55421%
        43.9887        0.761579        0.409489       -0.696827                4.56853%
        41.8068        0.756593        0.435524       -0.701807                4.58523%
        38.9563        0.742208        0.479126       -0.725551                4.60031%
        37.2296        0.750466        0.446572       -0.741361                4.61619%
         36.716         0.74864        0.438331       -0.698029                4.63206%
        40.1984        0.741341        0.495403       -0.751329                4.64872%
        38.1683        0.748425        0.486364       -0.782676                4.66131%
        39.7145        0.745137        0.506827       -0.802995                4.67714%
          41.22        0.738936        0.489876       -0.732874                4.69213%
        42.6972        0.756341        0.491137       -0.809186                4.70875%
        40.9649        0.745403        0.514963       -0.847772                4.72455%
        40.8187        0.746841        0.523055        -0.82855                4.73785%
